| Source Name |         RA2000 |          Dec2000 | PC | 90cm P:A | 90cm P:B | 90cm P:C | 90cm P:D | 90cm P:Flux | 20cm L:A | 20cm L:B | 20cm L:C | 20cm L:D | 20cm L:Flux | 6cm C:A | 6cm C:B | 6cm C:C | 6cm C:D | 6cm C:Flux | 3.7cm X:A | 3.7cm X:B | 3.7cm X:C | 3.7cm X:D | 3.7cm X:Flux | 2cm U:A | 2cm U:B | 2cm U:C | 2cm U:D | 2cm U:Flux | 1.3cm K:A | 1.3cm K:B | 1.3cm K:C | 1.3cm K:D | 1.3cm K:Flux | 0.7cm Q:A | 0.7cm Q:B | 0.7cm Q:C | 0.7cm Q:D | 0.7cm Q:Flux |
|    0100+681 |  15.2152647417 |     68.139037475 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       S |       S |       S |       S |        0.6 |           |           |           |           |          nan |         W |         W |         W |         W |          0.3 |
|    0101+166 |    15.49049875 |    16.6613766667 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.12 |
|    0102+584 |     15.6906766 |    58.4030935056 |  A |          |          |          |          |         nan |        P |        P |        P |        P |        0.94 |       P |       P |       P |       P |        1.2 |         P |         P |         P |         P |          2.7 |       P |       P |       P |       P |        2.3 |           |           |           |           |          nan |         S |         S |         S |         S |          2.4 |
|    0103+154 |     15.8583425 |       15.4401875 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |          0.1 |
|    0105+483 |  16.4580340167 |    48.3175534944 |  A |          |          |          |          |         nan |        S |        X |        X |        X |         0.7 |       P |       P |       P |       P |       0.95 |         P |         P |         P |         P |          0.8 |       S |       S |       S |       S |        0.6 |           |           |           |           |          nan |         W |         W |         W |         W |          0.3 |
|    0106-405 |  16.6879498583 |   -40.5722112111 |  B |          |          |          |          |         nan |        S |        X |        X |        X |        0.75 |       P |       P |       P |       P |       3.25 |         P |         P |         P |         P |         3.05 |       P |       P |       P |       P |        5.1 |           |           |           |           |          nan |         S |         S |         S |         S |          2.5 |
|    0107+132 |  16.9415066667 |    13.2014427778 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |         0.11 |
|    0108+015 |  17.1615461417 |    1.58342142778 |  B |          |          |          |          |         nan |        X |        X |        S |        P |         3.3 |       S |       S |       S |       S |        1.9 |         S |         S |         S |         S |         2.05 |       S |       S |       S |       S |        4.5 |           |           |           |           |          nan |         S |         S |         S |         S |          1.2 |
|    0109+615 |  17.4430791667 |    61.5584583333 |  C |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |         ? |         ? |         S |         S |         0.44 |         |         |         |         |        nan |           |           |           |           |          nan |         W |         W |         W |         W |          0.4 |
|    0110+680 |  17.5536391958 |    68.0947829167 |  B |          |          |          |          |         nan |          |          |          |          |         nan |         |         |         |         |        nan |           |           |           |           |          nan |       W |       W |       W |       X |        0.4 |           |           |           |           |          nan |         W |         W |         W |         W |          0.3 |
|    0110-076 |  17.7084206042 |   -7.69475380278 |  A |          |          |          |          |         nan |        S |        S |        S |        X |         0.9 |       P |       P |       P |       P |       0.78 |         P |         P |         P |         P |         0.73 |       S |       S |       S |       S |        0.4 |           |           |           |           |          nan |         W |         W |         W |         W |         0.38 |
